Giro,Nombre Comercial,Razón Social,Código Scian,Actividad,Tamaño,Calle,Número Exterior,Letra Exterior,Número Interior,Letra Interior,Colonia,Código Postal,Estado,Ciudad,Teléfono,Email,Página web
Hotelería y Restaurantes,101 COFFE & TEA,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,0,SN,17,,JARDINES DEL NORTE,97139,Yucatán,Mérida,,BRYAOTHNG90@GMAIL.COM,
Hotelería y Restaurantes,AL ALBA RESTAURANTE,ALIMENTOS SALUDABLES MONDO SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,YUCATAN 17,351,A,,,LOS PINOS,97138,Yucatán,Mérida,9997256399,,
Hotelería y Restaurantes,AVESTRUZ GOURMET FAST FOOD,AGROTECH RS,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,584,,1,,MAYA,97134,Yucatán,Mérida,9991776470,,
Hotelería y Restaurantes,CALIFORNIA PIZZA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,YUCATAN 17,0,SN,6,,JARDINES DEL NORTE,97139,Yucatán,Mérida,9991326768,MANUEL_HONDAL@GMAIL.COM,
Hotelería y Restaurantes,CASA FLAUTA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,YUCATAN 17,0,SN,12,,JARDINES DEL NORTE,97139,Yucatán,Mérida,5544836362,ERICKHG7-@HOTMAIL.COM,
Hotelería y Restaurantes,CASA TAI BANGKOK,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,YUCATAN 17,280,,0,,LA FLORIDA,97138,Yucatán,Mérida,9999202633,JORGE_TORRE@HOTMAIL.COM,
Hotelería y Restaurantes,CIMONNIS BAKERY,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,YUCATAN 17,0,SN,5,,JARDINES DEL NORTE,97139,Yucatán,Mérida,,JOSEWABIR@HOTMAIL.COM,
Hotelería y Restaurantes,COCINA Y RESTAURANTE MAR Y PESCA,,722512,Restaurantes con servicio de preparación de pescados y mariscos,6 a 10 personas,YUCATAN 17,266,B,0,,LA FLORIDA,97138,Yucatán,Mérida,,COCINA_MARPESCA@HOTMAIL.COM,
Hotelería y Restaurantes,COMIDA CHINA JIN FA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,YUCATAN 17,252,,,,CHOLUL,97305,Yucatán,Mérida,9995521585,,
Hotelería y Restaurantes,D ALBA HELADOS ARTESANALES,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,0,SN,29,,JARDINES DEL NORTE,97139,Yucatán,Mérida,8114145698,,
Hotelería y Restaurantes,EL CHARRO ZARANDIAO,CHARRO ZARANDIAO SA DE CV,722513,Restaurantes con servicio de preparación de antojitos,11 a 30 personas,YUCATAN 17,383,,,,LOS PINOS,97138,Yucatán,Mérida,,,
